"COUNTRY","Country","ISC11A","ISCED-A 2011","SEX","Gender","AGE","Age","PIAAC_CATEGORY","Category","INDICATOR","Indicator","MEASURE","Measure","YEAR","Reference year","Value","Flag Codes","Flags"
"AUT","Austria","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","SE","SE","2012","2012",1,,
"CAN","Canada","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","VALUE","Value","2012","2012",40,,
"CAN","Canada","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","SE","SE","2012","2012",0.6,,
"CAN","Canada","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","VALUE","Value","2012","2012",38,,
"CAN","Canada","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","SE","SE","2012","2012",0.2,,
"CAN","Canada","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","VALUE","Value","2012","2012",39,,
"CAN","Canada","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","SE","SE","2012","2012",0.2,,
"CAN","Canada","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","VALUE","Value","2012","2012",39,,
"CAN","Canada","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","SE","SE","2012","2012",0.1,,
"CAN","Canada","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","VALUE","Value","2012","2012",19,,
"CAN","Canada","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","SE","SE","2012","2012",1.7,,
"CAN","Canada","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","VALUE","Value","2012","2012",23,,
"CAN","Canada","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","SE","SE","2012","2012",1.1,,
"CAN","Canada","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","VALUE","Value","2012","2012",30,,
"CAN","Canada","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","SE","SE","2012","2012",0.9,,
"CAN","Canada","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","VALUE","Value","2012","2012",27,,
"CAN","Canada","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","SE","SE","2012","2012",0.7,,
"CZE","Czech Republic","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","VALUE","Value","2012","2012",40,,
"CZE","Czech Republic","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","SE","SE","2012","2012",0.9,,
"CZE","Czech Republic","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","VALUE","Value","2012","2012",43,,
"CZE","Czech Republic","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","SE","SE","2012","2012",0.3,,
"CZE","Czech Republic","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","VALUE","Value","2012","2012",43,,
"CZE","Czech Republic","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","SE","SE","2012","2012",0.4,,
"CZE","Czech Republic","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","VALUE","Value","2012","2012",43,,
"CZE","Czech Republic","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","SE","SE","2012","2012",0.2,,
"CZE","Czech Republic","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","VALUE","Value","2012","2012",17,,
"CZE","Czech Republic","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","SE","SE","2012","2012",4.5,,
"CZE","Czech Republic","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","VALUE","Value","2012","2012",29,,
"CZE","Czech Republic","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","SE","SE","2012","2012",1.6,,
"CZE","Czech Republic","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","VALUE","Value","2012","2012",43,,
"CZE","Czech Republic","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","SE","SE","2012","2012",3.6,,
"CZE","Czech Republic","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","VALUE","Value","2012","2012",32,,
"CZE","Czech Republic","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","SE","SE","2012","2012",1.4,,
"DNK","Denmark","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","VALUE","Value","2012","2012",35,,
"DNK","Denmark","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","SE","SE","2012","2012",0.5,,
"DNK","Denmark","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","VALUE","Value","2012","2012",38,,
"DNK","Denmark","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","SE","SE","2012","2012",0.3,,
"DNK","Denmark","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","VALUE","Value","2012","2012",38,,
"DNK","Denmark","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","SE","SE","2012","2012",0.2,,
"DNK","Denmark","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","VALUE","Value","2012","2012",37,,
"DNK","Denmark","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","SE","SE","2012","2012",0.2,,
"DNK","Denmark","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","VALUE","Value","2012","2012",32,,
"DNK","Denmark","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","SE","SE","2012","2012",2.5,,
"DNK","Denmark","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","VALUE","Value","2012","2012",39,,
"DNK","Denmark","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","SE","SE","2012","2012",1.3,,
"DNK","Denmark","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","VALUE","Value","2012","2012",43,,
"DNK","Denmark","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","SE","SE","2012","2012",1.2,,
"DNK","Denmark","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","VALUE","Value","2012","2012",40,,
"DNK","Denmark","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","SE","SE","2012","2012",0.7,,
"FIN","Finland","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","VALUE","Value","2012","2012",39,,
"FIN","Finland","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","SE","SE","2012","2012",0.5,,
"FIN","Finland","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","VALUE","Value","2012","2012",38,,
"FIN","Finland","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","SE","SE","2012","2012",0.3,,
"FIN","Finland","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","VALUE","Value","2012","2012",38,,
"FIN","Finland","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","SE","SE","2012","2012",0.2,,
"FIN","Finland","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","VALUE","Value","2012","2012",38,,
"FIN","Finland","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","SE","SE","2012","2012",0.2,,
"FIN","Finland","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","VALUE","Value","2012","2012",41,,
"FIN","Finland","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","SE","SE","2012","2012",2.9,,
"FIN","Finland","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","VALUE","Value","2012","2012",45,,
"FIN","Finland","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","SE","SE","2012","2012",1.6,,
"FIN","Finland","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","VALUE","Value","2012","2012",51,,
"FIN","Finland","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","SE","SE","2012","2012",1.2,,
"FIN","Finland","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","VALUE","Value","2012","2012",47,,
"FIN","Finland","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","SE","SE","2012","2012",0.8,,
"FRA","France","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","VALUE","Value","2012","2012",35,,
"FRA","France","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","SE","SE","2012","2012",0.3,,
"FRA","France","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","VALUE","Value","2012","2012",37,,
"FRA","France","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","SE","SE","2012","2012",0.2,,
"FRA","France","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","VALUE","Value","2012","2012",38,,
"FRA","France","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","SE","SE","2012","2012",0.2,,
"FRA","France","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","VALUE","Value","2012","2012",37,,
"FRA","France","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","SE","SE","2012","2012",0.2,,
"FRA","France","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","VALUE","Value","2012","2012",17,,
"FRA","France","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","SE","SE","2012","2012",1.2,,
"FRA","France","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","VALUE","Value","2012","2012",20,,
"FRA","France","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","SE","SE","2012","2012",0.7,,
"FRA","France","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","VALUE","Value","2012","2012",29,,
"FRA","France","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","SE","SE","2012","2012",1.1,,
"FRA","France","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","VALUE","Value","2012","2012",23,,
"FRA","France","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","SE","SE","2012","2012",0.5,,
"DEU","Germany","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","VALUE","Value","2012","2012",33,,
"DEU","Germany","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","SE","SE","2012","2012",1.3,,
"DEU","Germany","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","VALUE","Value","2012","2012",36,,
"DEU","Germany","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","SE","SE","2012","2012",0.3,,
"DEU","Germany","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","VALUE","Value","2012","2012",40,,
"DEU","Germany","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","SE","SE","2012","2012",0.4,,
"DEU","Germany","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","VALUE","Value","2012","2012",37,,
"DEU","Germany","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","SE","SE","2012","2012",0.2,,
"DEU","Germany","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","VALUE","Value","2012","2012",17,,
"DEU","Germany","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","SE","SE","2012","2012",3,,
"DEU","Germany","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","VALUE","Value","2012","2012",29,,
"DEU","Germany","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","SE","SE","2012","2012",1.2,,
"DEU","Germany","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","VALUE","Value","2012","2012",42,,
"DEU","Germany","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","SE","SE","2012","2012",1.3,,
